title,description,employer,location,job_url,tags,featured
Graduate Program - Finance and Accounting,Join Transgrid's Finance Graduate Program in Sydney.,TransGrid,"Sydney, Australia",https://rejobs.org/en/renewable-energy-jobs/113239-graduate-program-finance-and-accounting-transgrid,Energy Policy,False
Senior Workforce Lead (Development),Lead workforce development at Scottish Power in the UK.,Scottish Power,"Glasgow, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112668-senior-workforce-lead-development-scottish-power,Leadership | Safety Management | Training & Development | Net Zero | Energy Resilience | Workforce Development,False
Financial Controller,"Financial Controller at Vestas in Pasay, Philippines.",Vestas,"Pasay, Philippines",https://rejobs.org/en/renewable-energy-jobs/112764-financial-controller-vestas,Accounting & Finance | Energy Economics | Energy Governance | Financial Services,False
Shift Supervisor,"Shift Supervisor at Enviva in Garysburg, NC.",Enviva,"Garysburg, North Carolina, United States",https://rejobs.org/en/renewable-energy-jobs/112937-shift-supervisor-enviva,Safety Management | Bioenergy | Environmental Management | Sustainable Agriculture | Production Planning,False
O&M Excellence - Production System Lead,Lead O&M excellence at RWE Renewables in the UK.,RWE Renewables,"Swindon, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112628-om-excellence-production-system-lead-rwe-renewables,Offshore Wind Energy | Operations Management | Performance Management,False
Area Business Manager,Area Business Manager at Sun King in Zambia driving solar sales.,Sun King,Zambia,https://rejobs.org/en/renewable-energy-jobs/112855-area-business-manager-sun-king,Sales and Marketing | Community Solar | Energy Access | Talent Acquisition & Management,False
Manager - OT Cybersecurity,Lead OT Cybersecurity at AGL Energy in Melbourne.,AGL Energy,"Melbourne, Australia",https://rejobs.org/en/renewable-energy-jobs/112905-manager-ot-cybersecurity-agl-energy,Compliance | Cybersecurity | Energy Governance | Energy Resilience,False
Strategic Purchasing for Battery Storage Projects,Strategic Purchasing Intern at TRICERA energy in Dresden.,TRICERA energy GmbH,"Dresden, Germany",https://rejobs.org/en/renewable-energy-jobs/113160-strategic-purchasing-for-battery-storage-projects-tricera-energy-gmbh,Battery Management Systems | Battery Technology | Distributed Energy Resources | Power Electronics,False
"Director, Energy Financial Business Services",Lead Energy Financial Services at Wärtsilä in Finland.,Wärtsilä,"Helsinki, Finland",https://rejobs.org/en/renewable-energy-jobs/112770-director-energy-financial-business-services-wartsila,Leadership | Energy Management | Project Management | Accounting & Finance,False
Internal Communications Specialist,"Internal Communications Specialist at Helion Energy in Everett, USA.",Helion Energy,"Everett, United States",https://rejobs.org/en/renewable-energy-jobs/113075-internal-communications-specialist-helion-energy,Clean Energy Solutions | Marketing and Communications,False
Lead Project Engineer,Lead Project Engineer at SSE Renewables in Dublin or Glasgow.,SSE Renewables,"Dublin, Ireland",https://rejobs.org/en/renewable-energy-jobs/112888-lead-project-engineer-sse-renewables,Project Management | Onshore Wind Energy | Battery Management Systems | EPC Management | Photovoltaics | Health & Safety,False
Senior Power Platform Engineer (f/m/d),Senior Power Platform Engineer at EnBW in Lisbon.,EnBW Energie Baden-Württemberg,"Lisbon, Portugal",https://rejobs.org/en/renewable-energy-jobs/112639-senior-power-platform-engineer-fmd-enbw-energie-baden-wurttemberg,Digital Twin | Energy Analytics | Smart Energy Systems,False
"Technical Specialist, Hardware Support","Technical Specialist at Energy Toolbase in Asheville, NC.",Energy Toolbase,"Asheville, North Carolina, United States",https://rejobs.org/en/renewable-energy-jobs/113287-technical-specialist-hardware-support-energy-toolbase,Battery Management Systems | Power Electronics | Software Development | Technical Support,False
Operations Manager,"Operations Manager at Enviva in Epes, Alabama.",Enviva,"Epes, Alabama, United States",https://rejobs.org/en/renewable-energy-jobs/112931-operations-manager-enviva,Maintenance | Operations Management | Bioenergy | Preventive Maintenance,False
"Area Business Manager, AYA","Area Business Manager at Sun King in Yangon, Myanmar.",Sun King,"Yangon, Myanmar",https://rejobs.org/en/renewable-energy-jobs/112856-area-business-manager-aya-sun-king,Sales and Marketing | Community Solar | Energy Access | Rural Electrification,False
Development Engineer,Development Engineer at Scale Microgrid Solutions in California.,Scale Microgrid Solutions,"Santa Monica, California, United States",https://rejobs.org/en/renewable-energy-jobs/113107-development-engineer-scale-microgrid-solutions,Microgrids | Distributed Energy Resources | Battery Technology | EPC Management | Photovoltaics,False
Java Backend Developer (Hybrid in Greece),"Java Backend Developer at Power Factors in Athens, Greece.",Power Factors,"Athens, Greece",https://rejobs.org/en/renewable-energy-jobs/113027-java-backend-developer-hybrid-in-greece-power-factors,Software Development | Energy Analytics,False
"Technical Specialist, Hardware Support","Technical Specialist at Energy Toolbase in Calgary, Canada.",Energy Toolbase,"Calgary, Canada",https://rejobs.org/en/renewable-energy-jobs/113288-technical-specialist-hardware-support-energy-toolbase,Battery Management Systems | Power Electronics | Software Development | Technical Support,False
Retail Specialist,Retail Specialist at Sunrun in California driving solar sales.,Sunrun,"Fremont, California, United States",https://rejobs.org/en/renewable-energy-jobs/112675-retail-specialist-sunrun,Customer Management | Community Solar | Photovoltaic Systems | Solar Installation | Solar O&M | Energy Access,False
Electrical Engineer,"Electrical Engineer at EDF Energy in Edinburgh, UK.",EDF Energy,"Edinburgh, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112662-electrical-engineer-edf-energy,Onshore Wind Energy | Electrical Engineering | EPC Management | Safety Management,False
Graduate Transmission Line Engineer,"Graduate Transmission Line Engineer at Ulteig in Fargo, USA.",Ulteig,"Fargo, United States",https://rejobs.org/en/renewable-energy-jobs/113044-graduate-transmission-line-engineer-ulteig,High Voltage | Transmission & Distribution Systems | EPC Management | Engineering Management,False
Senior Litigation Counsel: IP Enforcement and ITC Strategy,"Senior Litigation Counsel at Group14 in Seattle, WA.",Group14 Technologies,"Seattle, Washington, United States",https://rejobs.org/en/renewable-energy-jobs/112123-senior-litigation-counsel-ip-enforcement-and-itc-strategy-group14-technologies,Legal Services | Intellectual Property | Battery Technology | Distributed Energy Resources,False
Senior Regulatory Data Analyst,Senior Regulatory Data Analyst at OVO Energy in the UK.,OVO Energy,"Glasgow, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/111853-senior-regulatory-data-analyst-ovo-energy,Regulatory Compliance | Energy Analytics | Energy Governance | Energy Policy | Stakeholder Management | System Analysis,False
"Area Business Manager, Djougou","Area Business Manager at Sun King in Djougou, Benin.",Sun King,"Djougou, Benin",https://rejobs.org/en/renewable-energy-jobs/111778-area-business-manager-djougou-sun-king,Sales and Marketing | Training & Development | Community Solar | Solar Installation | Solar O&M | Energy Access,False
Strategic Theme Lead - Drivetrains,Lead drivetrains strategy at ORE Catapult in the UK.,ORE Catapult,United Kingdom,https://rejobs.org/en/renewable-energy-jobs/112541-strategic-theme-lead-drivetrains-ore-catapult,Offshore Wind Energy | Business Development | Research and Development | Stakeholder Management,False
Ergonomics Intern (Summer 2026),"Ergonomics Intern at Antora Energy in San Jose, CA.",Antora Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/112141-ergonomics-intern-summer-2026-antora-energy,Manufacturing | Industrial Engineering | AI for Energy | Safety Management,False
Contract Specialist,"Contract Specialist at ib vogt in Kuala Lumpur, Malaysia.",ib vogt,"Kuala Lumpur, Malaysia",https://rejobs.org/en/renewable-energy-jobs/111903-contract-specialist-ib-vogt,Contract Management | EPC Management | Photovoltaic Systems | Power Purchase Agreement,False
Senior Transaction Manager,"Senior Transaction Manager at Vattenfall in Stockholm, leading wind energy deals.",Vattenfall,"Stockholm, Sweden",https://rejobs.org/en/renewable-energy-jobs/111557-senior-transaction-manager-vattenfall,Onshore Wind Energy | Business Development | Partnership Management | Portfolio Management,False
Device Support Engineer,"Device Support Engineer at Landis+Gyr in Jyväskylä, Finland.",Landis+Gyr,"Jyväskylä, Finland",https://rejobs.org/en/renewable-energy-jobs/111690-device-support-engineer-landisgyr,Metering | Power Electronics | Smart Energy Systems,False
"Associate, Data Engineer","Associate Data Engineer at Arevon Energy in Scottsdale, AZ.","Arevon Energy, Inc.","Scottsdale, Arizona, United States",https://rejobs.org/en/renewable-energy-jobs/112268-associate-data-engineer-arevon-energy-inc,Data | Battery Management Systems | Energy Analytics | Photovoltaic Systems | Performance Management,False
Project Manager - High Voltage,"Project Manager - High Voltage at Spark Power in Belleville, Canada.",Spark Power,"Belleville, Ontario, Canada",https://rejobs.org/en/renewable-energy-jobs/112403-project-manager-high-voltage-spark-power,High Voltage | Project Management | Power Systems | Commissioning,False
"Strategic Theme Lead - Electrical Integration, HV and Cables",Lead Electrical Integration at ORE Catapult in the UK.,ORE Catapult,United Kingdom,https://rejobs.org/en/renewable-energy-jobs/112542-strategic-theme-lead-electrical-integration-hv-and-cables-ore-catapult,Offshore Wind Energy | Electrical Engineering | Hybrid Power Plants | Stakeholder Management,False
"Senior Manager, Corporate Strategy & Development","Senior Manager at Power Factors in Brossard, Canada.",Power Factors,"Brossard, Canada",https://rejobs.org/en/renewable-energy-jobs/112031-senior-manager-corporate-strategy-development-power-factors,Market Analysis | Partnership Management | Energy Economics | Energy Policy | Project Management,False
"Intern, project development (MBA program)",Intern at Silicon Ranch in Nashville supporting project development.,Silicon Ranch Corporation,"Nashville, Tennessee, United States",https://rejobs.org/en/renewable-energy-jobs/112451-intern-project-development-mba-program-silicon-ranch-corporation,Project Management | Energy Policy | Stakeholder Management,False
Energy & resource efficiency sustainability consultant,"Energy & Resource Efficiency Consultant at RINA in Genoa, Italy.",RINA,"Genoa, Italy",https://rejobs.org/en/renewable-energy-jobs/111577-energy-resource-efficiency-sustainability-consultant-rina,Energy Auditing | Energy Management | Clean Energy Solutions | Energy Analytics | Resource Management,False
Impact Evaluation Manager,Impact Evaluation Manager at ORE Catapult in the UK.,ORE Catapult,United Kingdom,https://rejobs.org/en/renewable-energy-jobs/112537-impact-evaluation-manager-ore-catapult,Monitoring and Control Systems | Energy Analytics | Environmental Management | Energy Policy | System Analysis,False
Stage Ingénieur Process - Electrode (m/w/d),"Intern Process Engineer at Verkor in Bourbourg, France.",Verkor,"Bourbourg, France",https://rejobs.org/en/renewable-energy-jobs/111809-stage-ingenieur-process-electrode-mwd-verkor,Manufacturing | Lithium-Ion Batteries | Battery Technology | Distributed Energy Resources,False
"Intern, Clearloop Operations",Intern at Silicon Ranch in Nashville supporting Clearloop's clean energy programs.,Silicon Ranch Corporation,"Nashville, Tennessee, United States",https://rejobs.org/en/renewable-energy-jobs/112449-intern-clearloop-operations-silicon-ranch-corporation,Community Energy | Clean Energy Solutions | Energy Access,False
Loan Compliance Manager,"Loan Compliance Manager at Matrix Renewables in Miami, FL.",Matrix Renewables,"Miami, Florida, United States",https://rejobs.org/en/renewable-energy-jobs/112332-loan-compliance-manager-matrix-renewables,Project Finance | Energy Asset Valuation | Portfolio Management | Risk Management,False
Lead Technician,"Lead Technician at Clearway Energy in Woodward, OK.",Clearway Energy Group,"Woodward, Oklahoma, United States",https://rejobs.org/en/renewable-energy-jobs/112019-lead-technician-clearway-energy-group,Blade Maintenance | Onshore Wind Energy | Turbine Operations | Wind O&M | Safety Management,False
Substation Operator,"Substation Operator at Spark Power in Angleton, Texas.",Spark Power,"Angleton, Texas, United States",https://rejobs.org/en/renewable-energy-jobs/112397-substation-operator-spark-power,High Voltage | Power Systems | Electrical Engineering | Compliance,False
